,idno,agea,rlgdgr,polintr,sclmeet,happy,cntry,nwspol,pplfair,health,atchctr,aesfdrk,dscrgrp,pray,hhmmb,gndr,impdiffa,impfuna,impsafea,iphlppla,ipsucesa,enjlf,fltdpr,fltlnl,slprl,dosprt,cgtsmok,alcfreq,height,weighta,fnsdfml,cnfpplh,paccnt,emplrel,hincfel,uempla,actrolga,cptppola,trstprl,trstlgl,trstplc,trstplt,vote,stfeco,stfdem,stfedu
6552,57209,35.0,7.0,2.0,4.0,7.0,DE,60.0,6.0,2.0,7.0,1.0,0.0,7.0,2.0,1,2.0,2.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,7.0,4.0,2.0,170.0,72.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,5.0,7.0,8.0,4.0,1.0,7.0,8.0,4.0
6553,57219,42.0,8.0,2.0,3.0,7.0,DE,30.0,6.0,2.0,8.0,3.0,0.0,4.0,4.0,1,4.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,180.0,110.0,2.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,5.0,9.0,5.0,4.0,3.0,6.0,7.0,4.0
6558,57280,87.0,2.0,1.0,2.0,7.0,DE,90.0,3.0,2.0,8.0,4.0,0.0,7.0,1.0,1,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,7.0,4.0,7.0,174.0,78.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,7.0,5.0,3.0,1.0,6.0,7.0,7.0
6560,57316,29.0,2.0,3.0,6.0,6.0,DE,920.0,6.0,2.0,4.0,1.0,0.0,7.0,1.0,1,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,7.0,1.0,2.0,180.0,60.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0
6561,57321,68.0,8.0,2.0,4.0,7.0,DE,30.0,5.0,2.0,8.0,2.0,0.0,2.0,1.0,0,5.0,6.0,1.0,2.0,6.0,3.0,1.0,2.0,1.0,7.0,4.0,4.0,162.0,52.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,5.0,6.0,7.0,4.0,1.0,4.0,5.0,3.0
6562,57326,18.0,1.0,3.0,4.0,7.0,DE,15.0,6.0,2.0,5.0,2.0,0.0,7.0,4.0,0,5.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,7.0,6.0,4.0,173.0,64.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,6.0,7.0,6.0,3.0,7.0,8.0,7.0
6563,57337,55.0,5.0,2.0,6.0,9.0,DE,30.0,7.0,2.0,9.0,4.0,0.0,7.0,2.0,0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,6.0,4.0,165.0,72.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,8.0,8.0,6.0,2.0,4.0,8.0,5.0
6564,57350,71.0,8.0,1.0,4.0,9.0,DE,90.0,8.0,3.0,7.0,2.0,0.0,2.0,2.0,0,3.0,5.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,7.0,4.0,6.0,163.0,67.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,4.0,7.0,2.0,1.0,4.0,3.0,2.0
6565,57356,25.0,0.0,2.0,6.0,6.0,DE,30.0,8.0,2.0,4.0,1.0,0.0,7.0,5.0,1,4.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,183.0,73.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,6.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0
6566,57363,54.0,3.0,1.0,6.0,9.0,DE,90.0,5.0,2.0,9.0,2.0,0.0,7.0,4.0,1,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,3.0,3.0,175.0,85.0,5.0,4.0,1.0,1.0,2.0,0.0,4.0,5.0,8.0,9.0,9.0,5.0,1.0,7.0,5.0,7.0
6567,57366,62.0,10.0,4.0,6.0,6.0,DE,1085.0,0.0,5.0,0.0,1.0,0.0,6.0,2.0,0,2.0,3.0,5.0,1.0,4.0,3.0,2.0,1.0,3.0,6.0,1.0,1.0,180.0,72.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,1.0,5.0,5.0,7.0
6568,57372,66.0,5.0,3.0,6.0,8.0,DE,572.0,4.0,2.0,8.0,2.0,0.0,6.0,1.0,0,5.0,2.0,6.0,2.0,6.0,4.0,1.0,1.0,2.0,2.0,6.0,3.0,157.0,50.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,4.0,7.0,6.0,1.0,3.0,3.0,4.0
6569,57384,69.0,4.0,2.0,5.0,10.0,DE,30.0,3.0,2.0,9.0,2.0,0.0,6.0,2.0,1,3.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,179.0,108.0,3.0,5.0,0.0,2.0,1.0,0.0,4.0,3.0,6.0,6.0,7.0,6.0,1.0,6.0,7.0,3.0
6570,57399,41.0,9.0,3.0,4.0,9.0,DE,10.0,5.0,1.0,5.0,2.0,0.0,6.0,6.0,0,3.0,3.0,3.0,5.0,5.0,3.0,2.0,1.0,1.0,4.0,6.0,7.0,179.0,73.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,4.0,2.0,0.0
6571,57420,22.0,1.0,2.0,5.0,7.0,DE,843.0,7.0,2.0,6.0,2.0,0.0,7.0,2.0,0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,7.0,2.0,3.0,166.0,60.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,6.0,8.0,8.0,5.0,1.0,5.0,7.0,4.0
