,idno,agea,rlgdgr,polintr,sclmeet,happy,cntry,nwspol,pplfair,health,atchctr,aesfdrk,dscrgrp,pray,hhmmb,gndr,impdiffa,impfuna,impsafea,iphlppla,ipsucesa,enjlf,fltdpr,fltlnl,slprl,dosprt,cgtsmok,alcfreq,height,weighta,fnsdfml,cnfpplh,paccnt,emplrel,hincfel,uempla,actrolga,cptppola,trstprl,trstlgl,trstplc,trstplt,vote,stfeco,stfdem,stfedu
1509,73513,52.0,0.0,3.0,6.0,8.0,AT,0.0,5.0,2.0,6.0,1.0,0.0,7.0,1.0,0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,162.0,61.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,5.0,7.0,0.0,2.0,4.0,3.0,5.0
1510,73519,65.0,7.0,3.0,4.0,7.0,AT,10.0,5.0,2.0,7.0,2.0,0.0,5.0,1.0,0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,0.0,4.0,7.0,168.0,82.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0
1515,73614,58.0,4.0,1.0,4.0,8.0,AT,45.0,7.0,2.0,8.0,2.0,0.0,6.0,2.0,1,6.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,175.0,88.0,3.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,5.0,2.0,8.0,3.0,1.0,7.0,7.0,5.0
1516,73634,44.0,5.0,3.0,5.0,7.0,AT,0.0,3.0,3.0,7.0,2.0,0.0,7.0,3.0,1,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,7.0,4.0,2.0,187.0,120.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,1.0,1.0,3.0,7.0
1517,73655,48.0,5.0,3.0,4.0,7.0,AT,15.0,8.0,2.0,9.0,2.0,0.0,1.0,3.0,0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,167.0,63.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,7.0,9.0,4.0,1.0,6.0,8.0,8.0
1518,73665,78.0,6.0,2.0,6.0,7.0,AT,45.0,4.0,2.0,10.0,2.0,0.0,4.0,2.0,1,4.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,181.0,88.0,4.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,7.0,4.0,5.0,1.0,7.0,4.0,5.0
1519,73675,24.0,2.0,1.0,5.0,10.0,AT,150.0,10.0,1.0,5.0,1.0,0.0,7.0,3.0,1,1.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,2.0,5.0,6.0,6.0,190.0,130.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,5.0,8.0,0.0,1.0,10.0,1.0,3.0
1520,73710,42.0,0.0,1.0,6.0,8.0,AT,60.0,8.0,1.0,6.0,1.0,0.0,7.0,1.0,1,4.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,178.0,86.0,5.0,3.0,1.0,1.0,3.0,0.0,4.0,4.0,8.0,8.0,8.0,6.0,1.0,4.0,3.0,2.0
1521,73722,54.0,4.0,3.0,4.0,7.0,AT,15.0,8.0,3.0,10.0,2.0,0.0,2.0,2.0,0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,6.0,4.0,168.0,51.0,4.0,5.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,5.0,7.0,1.0,1.0,5.0,5.0,5.0
1522,73745,77.0,5.0,2.0,3.0,7.0,AT,45.0,0.0,4.0,9.0,2.0,0.0,3.0,1.0,0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,163.0,84.0,4.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,9.0,0.0,2.0,2.0,3.0,8.0
1523,73863,49.0,5.0,2.0,4.0,9.0,AT,45.0,7.0,2.0,9.0,2.0,0.0,1.0,3.0,1,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,183.0,91.0,3.0,4.0,1.0,1.0,2.0,0.0,3.0,3.0,5.0,8.0,9.0,5.0,1.0,6.0,9.0,8.0
1525,73870,59.0,1.0,3.0,6.0,7.0,AT,20.0,6.0,3.0,7.0,1.0,0.0,7.0,2.0,0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,6.0,159.0,56.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,9.0,0.0,1.0,3.0,2.0,7.0
1528,73904,32.0,5.0,1.0,7.0,10.0,AT,5.0,8.0,2.0,10.0,3.0,0.0,7.0,4.0,0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,6.0,6.0,168.0,69.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,4.0,7.0,10.0,10.0,5.0,1.0,7.0,5.0,7.0
1530,73914,63.0,9.0,3.0,5.0,8.0,AT,30.0,5.0,1.0,10.0,1.0,0.0,3.0,2.0,0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,7.0,164.0,67.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,10.0,10.0,7.0,1.0,8.0,7.0,9.0
1531,73926,83.0,6.0,2.0,3.0,10.0,AT,120.0,9.0,3.0,10.0,3.0,0.0,4.0,1.0,0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,6.0,4.0,5.0,156.0,75.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,10.0,10.0,1.0,2.0,5.0,5.0,4.0
1532,73931,25.0,8.0,4.0,6.0,5.0,AT,60.0,10.0,1.0,8.0,2.0,0.0,1.0,1.0,0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,5.0,3.0,165.0,63.0,4.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,8.0,5.0,9.0,7.0,1.0,5.0,8.0,10.0
1533,73937,73.0,0.0,1.0,4.0,6.0,AT,120.0,6.0,3.0,8.0,2.0,0.0,6.0,1.0,0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,162.0,72.0,4.0,3.0,1.0,1.0,3.0,0.0,4.0,5.0,7.0,7.0,6.0,5.0,1.0,4.0,4.0,2.0
1536,74090,52.0,8.0,2.0,6.0,5.0,AT,60.0,6.0,3.0,7.0,1.0,0.0,3.0,1.0,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,173.0,89.0,2.0,3.0,1.0,2.0,3.0,0.0,4.0,4.0,2.0,7.0,8.0,1.0,1.0,2.0,0.0,7.0
1537,74092,45.0,1.0,3.0,4.0,8.0,AT,10.0,3.0,1.0,9.0,2.0,0.0,7.0,2.0,0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,177.0,64.0,5.0,5.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,8.0,7.0,3.0,2.0,5.0,2.0,9.0
1539,74134,30.0,5.0,4.0,7.0,10.0,AT,10.0,5.0,3.0,9.0,2.0,0.0,7.0,1.0,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,6.0,3.0,178.0,103.0,5.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,7.0,8.0,10.0,4.0,1.0,7.0,4.0,3.0
1541,74161,46.0,7.0,3.0,4.0,7.0,AT,45.0,8.0,1.0,10.0,1.0,0.0,3.0,2.0,1,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,6.0,3.0,182.0,80.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,5.0,5.0,8.0,8.0,3.0,1.0,3.0,4.0,4.0
1542,74203,72.0,5.0,3.0,4.0,10.0,AT,40.0,10.0,1.0,10.0,2.0,0.0,7.0,2.0,1,2.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,6.0,4.0,6.0,188.0,92.0,4.0,4.0,0.0,1.0,2.0,0.0,5.0,4.0,3.0,3.0,5.0,3.0,1.0,6.0,7.0,6.0
1544,74234,66.0,8.0,2.0,6.0,10.0,AT,60.0,9.0,2.0,10.0,1.0,0.0,6.0,2.0,0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,7.0,6.0,4.0,176.0,61.0,5.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,6.0,6.0,6.0,5.0,1.0,4.0,7.0,8.0
1545,74246,34.0,3.0,3.0,6.0,10.0,AT,20.0,6.0,1.0,10.0,1.0,0.0,6.0,2.0,0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,6.0,4.0,165.0,70.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,9.0,10.0,5.0,1.0,7.0,5.0,8.0
1546,74256,61.0,0.0,4.0,7.0,10.0,AT,0.0,10.0,1.0,3.0,1.0,0.0,7.0,1.0,0,4.0,3.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,7.0,6.0,6.0,168.0,75.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,5.0,0.0,2.0,8.0,8.0,2.0
1548,74281,63.0,4.0,2.0,6.0,7.0,AT,20.0,4.0,1.0,6.0,2.0,0.0,7.0,1.0,1,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,187.0,92.0,4.0,4.0,1.0,1.0,2.0,0.0,4.0,4.0,6.0,7.0,7.0,6.0,1.0,4.0,5.0,6.0
1549,74296,62.0,3.0,2.0,5.0,7.0,AT,75.0,7.0,1.0,5.0,1.0,0.0,7.0,1.0,0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,2.0,172.0,62.0,4.0,4.0,1.0,2.0,1.0,0.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,7.0
1551,74317,58.0,6.0,2.0,6.0,8.0,AT,60.0,7.0,2.0,8.0,1.0,0.0,6.0,1.0,0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,166.0,58.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,8.0,8.0,10.0,6.0,1.0,6.0,2.0,4.0
1552,74321,52.0,4.0,2.0,5.0,9.0,AT,90.0,7.0,1.0,8.0,1.0,0.0,7.0,2.0,0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,167.0,69.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0
1553,74418,75.0,9.0,3.0,3.0,7.0,AT,60.0,8.0,3.0,10.0,2.0,0.0,1.0,2.0,0,4.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,6.0,7.0,162.0,58.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,5.0,5.0,8.0,8.0,5.0,2.0,4.0,5.0,6.0
1554,74433,74.0,8.0,4.0,5.0,7.0,AT,0.0,4.0,3.0,7.0,3.0,0.0,2.0,1.0,0,5.0,3.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,6.0,171.0,81.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0
1555,74440,84.0,6.0,4.0,3.0,8.0,AT,15.0,7.0,3.0,10.0,1.0,0.0,3.0,2.0,1,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,6.0,4.0,172.0,79.0,3.0,5.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,8.0,10.0,6.0,1.0,8.0,9.0,8.0
1557,74494,30.0,10.0,2.0,6.0,10.0,AT,20.0,8.0,1.0,10.0,1.0,0.0,1.0,6.0,0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,6.0,7.0,173.0,66.0,2.0,4.0,0.0,2.0,1.0,0.0,4.0,4.0,7.0,8.0,9.0,4.0,1.0,8.0,8.0,7.0
1558,74501,51.0,2.0,2.0,4.0,9.0,AT,30.0,7.0,1.0,10.0,2.0,0.0,7.0,4.0,0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,164.0,71.0,5.0,5.0,1.0,1.0,2.0,0.0,3.0,3.0,8.0,10.0,10.0,6.0,1.0,8.0,10.0,10.0
1561,74533,71.0,5.0,3.0,4.0,7.0,AT,60.0,4.0,4.0,9.0,1.0,0.0,7.0,2.0,1,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,7.0,4.0,7.0,163.0,78.0,4.0,4.0,1.0,1.0,2.0,0.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,5.0
1562,74539,69.0,6.0,2.0,4.0,7.0,AT,60.0,6.0,3.0,9.0,2.0,0.0,6.0,1.0,0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,154.0,80.0,4.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,6.0,5.0,8.0,3.0,1.0,4.0,6.0,5.0
1566,74592,41.0,5.0,3.0,4.0,9.0,AT,20.0,7.0,2.0,8.0,2.0,0.0,1.0,4.0,0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,4.0,166.0,63.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,4.0,7.0,8.0,3.0,1.0,7.0,8.0,8.0
1568,74605,72.0,3.0,2.0,6.0,9.0,AT,90.0,9.0,2.0,8.0,1.0,0.0,5.0,1.0,1,2.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,6.0,172.0,86.0,5.0,5.0,1.0,1.0,2.0,0.0,3.0,4.0,4.0,9.0,9.0,4.0,1.0,7.0,7.0,5.0
1569,74615,44.0,5.0,2.0,6.0,7.0,AT,240.0,5.0,2.0,6.0,2.0,0.0,7.0,3.0,0,2.0,2.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,6.0,163.0,85.0,5.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,7.0,8.0,4.0,3.0,0.0,4.0,7.0
1570,74617,63.0,4.0,2.0,6.0,9.0,AT,120.0,9.0,2.0,7.0,2.0,0.0,7.0,2.0,1,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,7.0,6.0,1.0,188.0,105.0,5.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,8.0,9.0,9.0,5.0,3.0,6.0,5.0,5.0
1573,74684,84.0,7.0,2.0,6.0,8.0,AT,10.0,7.0,2.0,10.0,2.0,0.0,3.0,1.0,0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,6.0,3.0,169.0,70.0,5.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,8.0,9.0,9.0,5.0,1.0,8.0,8.0,9.0
1577,74753,27.0,0.0,4.0,7.0,6.0,AT,5.0,0.0,2.0,9.0,2.0,0.0,7.0,1.0,1,2.0,1.0,6.0,3.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,175.0,75.0,5.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
1578,74761,61.0,2.0,2.0,2.0,8.0,AT,60.0,6.0,5.0,9.0,1.0,0.0,7.0,1.0,1,4.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,4.0,7.0,182.0,80.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,3.0,8.0,9.0,8.0,8.0,1.0,8.0,8.0,8.0
1579,74771,85.0,8.0,1.0,4.0,8.0,AT,90.0,4.0,2.0,8.0,2.0,0.0,1.0,2.0,0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,1.0,157.0,64.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,8.0,6.0,3.0,1.0,7.0,6.0,6.0
1580,74775,48.0,8.0,2.0,6.0,6.0,AT,30.0,5.0,4.0,8.0,3.0,0.0,1.0,1.0,1,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,7.0,184.0,118.0,4.0,2.0,1.0,2.0,3.0,0.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,5.0
1582,74803,37.0,1.0,1.0,5.0,8.0,AT,60.0,8.0,2.0,10.0,2.0,0.0,7.0,1.0,1,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,3.0,178.0,78.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,5.0,3.0,8.0,7.0,3.0,1.0,7.0,8.0,7.0
1583,74804,45.0,6.0,2.0,5.0,8.0,AT,45.0,7.0,2.0,9.0,2.0,0.0,5.0,3.0,0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,6.0,7.0,162.0,56.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,6.0,8.0,8.0,6.0,1.0,5.0,6.0,7.0
1585,74819,47.0,0.0,1.0,6.0,9.0,AT,30.0,8.0,2.0,6.0,1.0,0.0,7.0,2.0,1,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,189.0,80.0,1.0,2.0,1.0,2.0,1.0,0.0,4.0,4.0,8.0,9.0,8.0,2.0,1.0,4.0,3.0,6.0
1586,74820,56.0,3.0,3.0,4.0,6.0,AT,30.0,4.0,3.0,7.0,3.0,0.0,6.0,2.0,0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,173.0,82.0,5.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,7.0
1587,74830,42.0,6.0,2.0,5.0,9.0,AT,30.0,6.0,2.0,8.0,1.0,0.0,6.0,4.0,0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,7.0,6.0,4.0,165.0,103.0,5.0,5.0,1.0,2.0,1.0,0.0,4.0,4.0,9.0,9.0,8.0,6.0,1.0,8.0,9.0,4.0
1588,74905,56.0,0.0,1.0,7.0,2.0,AT,120.0,1.0,4.0,8.0,2.0,1.0,7.0,1.0,1,2.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,0.0,6.0,7.0,183.0,130.0,2.0,5.0,1.0,2.0,1.0,0.0,3.0,2.0,4.0,3.0,7.0,2.0,1.0,3.0,4.0,4.0
1589,74908,48.0,4.0,3.0,4.0,6.0,AT,30.0,5.0,2.0,6.0,2.0,0.0,6.0,2.0,0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,171.0,72.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0
1590,74915,63.0,4.0,2.0,6.0,8.0,AT,30.0,7.0,3.0,8.0,2.0,0.0,2.0,2.0,1,4.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,179.0,82.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,7.0,8.0,3.0,1.0,6.0,8.0,9.0
1591,74928,74.0,6.0,1.0,6.0,8.0,AT,135.0,4.0,3.0,9.0,2.0,0.0,5.0,2.0,1,4.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,7.0,4.0,1.0,172.0,77.0,4.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
1592,74942,61.0,5.0,3.0,4.0,8.0,AT,20.0,7.0,2.0,9.0,2.0,0.0,1.0,3.0,0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,164.0,66.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,7.0,9.0,4.0,1.0,7.0,9.0,8.0
1593,74944,59.0,2.0,2.0,6.0,8.0,AT,30.0,8.0,1.0,8.0,1.0,0.0,7.0,2.0,0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,7.0,165.0,58.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,9.0,3.0,1.0,1.0,4.0,6.0
1595,74961,73.0,10.0,2.0,6.0,10.0,AT,60.0,7.0,1.0,10.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,7.0,4.0,4.0,172.0,74.0,5.0,5.0,1.0,1.0,1.0,0.0,5.0,5.0,9.0,10.0,10.0,8.0,1.0,9.0,10.0,10.0
1596,75007,40.0,2.0,1.0,6.0,7.0,AT,60.0,8.0,1.0,7.0,1.0,0.0,7.0,1.0,1,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,6.0,176.0,95.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,6.0,8.0,5.0,1.0,8.0,7.0,5.0
1599,75079,56.0,6.0,1.0,6.0,1.0,AT,120.0,8.0,2.0,7.0,2.0,0.0,1.0,1.0,1,4.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,1.0,189.0,87.0,5.0,5.0,0.0,1.0,1.0,0.0,3.0,2.0,7.0,8.0,6.0,7.0,1.0,5.0,7.0,6.0
1600,75091,52.0,5.0,3.0,5.0,10.0,AT,10.0,6.0,2.0,10.0,2.0,0.0,5.0,2.0,0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,170.0,68.0,5.0,5.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,10.0,10.0,7.0,2.0,8.0,8.0,10.0
1601,75096,43.0,2.0,3.0,6.0,9.0,AT,30.0,8.0,2.0,8.0,2.0,0.0,6.0,2.0,1,6.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,6.0,2.0,180.0,98.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,6.0,9.0,9.0,7.0,2.0,8.0,7.0,9.0
1602,75101,47.0,1.0,1.0,4.0,7.0,AT,75.0,5.0,2.0,6.0,3.0,0.0,7.0,1.0,1,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,6.0,2.0,188.0,118.0,3.0,3.0,1.0,1.0,3.0,0.0,5.0,5.0,2.0,8.0,9.0,0.0,1.0,2.0,1.0,7.0
1603,75123,59.0,5.0,2.0,6.0,8.0,AT,30.0,6.0,3.0,9.0,2.0,0.0,6.0,1.0,0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,158.0,60.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,5.0,7.0,7.0,4.0,1.0,6.0,6.0,7.0
1605,75126,69.0,5.0,2.0,7.0,10.0,AT,30.0,10.0,2.0,9.0,2.0,0.0,2.0,2.0,0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,160.0,80.0,4.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,5.0,10.0,5.0,1.0,5.0,8.0,6.0
1606,75144,54.0,0.0,2.0,4.0,9.0,AT,40.0,8.0,1.0,7.0,2.0,0.0,7.0,2.0,1,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,173.0,74.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,4.0,8.0,9.0,2.0,1.0,4.0,6.0,4.0
1608,75177,71.0,6.0,4.0,4.0,8.0,AT,15.0,4.0,1.0,10.0,1.0,0.0,5.0,2.0,0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,7.0,160.0,67.0,3.0,5.0,1.0,3.0,2.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,6.0,9.0,9.0
1611,75222,65.0,2.0,2.0,5.0,9.0,AT,60.0,2.0,1.0,10.0,2.0,0.0,6.0,1.0,0,4.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,5.0,166.0,65.0,3.0,5.0,1.0,1.0,2.0,0.0,3.0,2.0,10.0,10.0,10.0,7.0,1.0,8.0,8.0,9.0
1612,75240,51.0,3.0,3.0,3.0,7.0,AT,15.0,7.0,2.0,10.0,1.0,0.0,6.0,1.0,1,6.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,176.0,72.0,4.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,6.0,9.0,10.0,3.0,1.0,5.0,5.0,7.0
1613,75248,46.0,0.0,3.0,4.0,7.0,AT,30.0,3.0,3.0,8.0,2.0,0.0,7.0,1.0,1,4.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,174.0,97.0,4.0,5.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,4.0,0.0,2.0,4.0,4.0,7.0
1616,75286,23.0,8.0,3.0,4.0,5.0,AT,20.0,2.0,3.0,4.0,2.0,0.0,3.0,3.0,1,4.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,170.0,106.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,4.0
1617,75289,55.0,0.0,2.0,6.0,9.0,AT,60.0,8.0,1.0,10.0,2.0,0.0,7.0,1.0,1,2.0,6.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,184.0,89.0,4.0,5.0,1.0,1.0,1.0,0.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,8.0,9.0,8.0
1619,75331,30.0,2.0,2.0,4.0,7.0,AT,60.0,7.0,2.0,7.0,1.0,0.0,7.0,0.0,1,3.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,6.0,4.0,186.0,72.0,5.0,4.0,1.0,1.0,2.0,0.0,3.0,3.0,7.0,9.0,8.0,5.0,1.0,7.0,8.0,6.0
1621,75411,65.0,8.0,1.0,6.0,9.0,AT,60.0,8.0,3.0,9.0,1.0,0.0,1.0,3.0,1,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,3.0,6.0,170.0,69.0,3.0,5.0,0.0,1.0,1.0,0.0,4.0,5.0,5.0,4.0,10.0,2.0,1.0,5.0,8.0,3.0
1622,75413,24.0,10.0,2.0,7.0,9.0,AT,120.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,7.0,181.0,78.0,3.0,3.0,0.0,3.0,2.0,0.0,5.0,5.0,7.0,6.0,5.0,5.0,1.0,5.0,5.0,8.0
1623,75414,67.0,6.0,2.0,4.0,7.0,AT,60.0,4.0,3.0,6.0,2.0,0.0,4.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,162.0,56.0,4.0,4.0,1.0,2.0,2.0,0.0,3.0,5.0,5.0,5.0,7.0,3.0,1.0,7.0,6.0,3.0
